H,Vp,Vs,Rho,Qs
4.0,5.79328,3.19101,2.6,600.0
4.0,5.79328,3.19101,2.6,600.0
4.0,5.79328,3.19101,2.6,600.0
3.133333,6.79151,3.88904,2.9,600.0
3.133333,6.79151,3.88904,2.9,600.0
3.133333,6.79151,3.88904,2.9,600.0
5.2,8.009995,4.384277,3.380477,600.0
5.2,8.004085,4.38547,3.37991,600.0
5.2,7.998175,4.386663,3.379343,600.0
6.666667,7.991435,4.388027,3.378697,600.0
6.666667,7.983865,4.38956,3.37797,600.0
6.666667,7.976295,4.391093,3.377243,600.0
6.666667,7.968728,4.392625,3.376518,600.0
6.666667,7.961165,4.394155,3.375795,600.0
6.666667,7.953602,4.395685,3.375072,600.0
6.666667,7.886478,4.316652,3.374348,80.0
6.666667,7.878815,4.318155,3.373625,80.0
6.666667,7.871152,4.319658,3.372902,80.0
6.666667,7.863487,4.321162,3.372177,80.0
6.666667,7.85582,4.322665,3.37145,80.0
6.666667,7.848153,4.324168,3.370723,80.0
6.666667,7.840487,4.325672,3.369998,80.0
6.666667,7.83282,4.327175,3.369275,80.0
6.666667,7.825153,4.328678,3.368552,80.0
6.666667,7.817485,4.330183,3.367828,80.0
6.666667,7.809815,4.33169,3.367105,80.0
6.666667,7.802145,4.333197,3.366382,80.0
6.666667,7.794477,4.334702,3.365657,80.0
6.666667,7.78681,4.336205,3.36493,80.0
6.666667,7.779143,4.337708,3.364203,80.0
6.666667,7.771475,4.339212,3.363478,80.0
6.666667,7.763805,4.340715,3.362755,80.0
6.666667,7.756135,4.342218,3.362032,80.0
6.666667,7.748467,4.343722,3.361308,80.0
6.666667,7.7408,4.345225,3.360585,80.0
6.666667,7.733133,4.346728,3.359862,80.0
9.0,8.527841,4.592253,3.438466,143.0
9.0,8.545123,4.598479,3.443838,143.0
9.0,8.562405,4.604705,3.44921,143.0
9.0,8.579687,4.610931,3.454582,143.0
9.0,8.596969,4.617157,3.459954,143.0
9.0,8.614253,4.623382,3.465327,143.0
9.0,8.631539,4.629606,3.470701,143.0
9.0,8.648825,4.63583,3.476075,143.0
9.0,8.666111,4.642054,3.481449,143.0
9.0,8.683397,4.648278,3.486823,143.0
9.0,8.700684,4.654503,3.492198,143.0
9.0,8.717972,4.660729,3.497574,143.0
9.0,8.73526,4.666955,3.50295,143.0
9.0,8.752548,4.673181,3.508326,143.0
9.0,8.769836,4.679407,3.513702,143.0
9.0,8.787121,4.685632,3.519076,143.0
9.0,8.804403,4.691856,3.524448,143.0
9.0,8.821685,4.69808,3.52982,143.0
9.0,8.838967,4.704304,3.535192,143.0
9.0,8.856249,4.710528,3.540564,143.0
10.0,9.117392,4.888832,3.73008,143.0
10.0,9.168316,4.917656,3.74268,143.0
10.0,9.21924,4.94648,3.75528,143.0
10.0,9.270164,4.975304,3.76788,143.0
10.0,9.321088,5.004128,3.78048,143.0
10.0,9.372017,5.032954,3.793082,143.0
10.0,9.422951,5.061782,3.805686,143.0
10.0,9.473885,5.09061,3.81829,143.0
10.0,9.524819,5.119438,3.830894,143.0
10.0,9.575753,5.148266,3.843498,143.0
10.0,9.626686,5.177094,3.856102,143.0
10.0,9.677618,5.205922,3.868706,143.0
10.0,9.72855,5.23475,3.88131,143.0
10.0,9.779482,5.263578,3.893914,143.0
10.0,9.830414,5.292406,3.906518,143.0
10.0,9.881347,5.321235,3.919122,143.0
10.0,9.932281,5.350065,3.931726,143.0
