H,Vp,Vs,Rho,Qs
0.25,4.0,2.0,2.2,200.0
0.25,4.0,2.0,2.2,200.0
0.5,4.0,2.0,2.2,200.0
0.5,4.0,2.0,2.2,400.0
1.5,4.0,2.0,2.2,400.0
2.0,6.08,3.44,2.74,400.0
4.0,6.08,3.44,2.74,400.0
6.0,6.08,3.44,2.74,400.0
4.68555,6.08,3.44,2.74,400.0
4.68555,6.78,3.84,3.0,400.0
5.62891,6.78,3.84,3.0,400.0
5.0,6.78,3.84,3.0,400.0
7.91406,6.78,3.84,3.0,400.0
7.08594,8.19,4.51,3.32293,400.0
5.0,8.19,4.51,3.32793,400.0
6.45703,8.19,4.51,3.33267,400.0
8.54297,8.19,4.51,3.33888,400.0
10.0,8.19,4.51,3.34655,100.0
23.3335,8.19,4.51,3.36034,100.0
23.333,8.19,4.53,3.376,100.0
23.3335,8.19,4.53,3.388,100.0
23.3335,8.19,4.53,3.4,143.0
23.333,8.19,4.53,3.412,143.0
23.3335,8.19,4.53,3.424,143.0
22.5,8.21875,4.54313,3.43563,143.0
22.5,8.27625,4.56938,3.44688,143.0
22.5,8.33375,4.59562,3.45813,143.0
22.5,8.39125,4.62187,3.46937,143.0
22.5,8.44875,4.64813,3.48062,143.0
22.5,8.50625,4.67438,3.49187,143.0
22.5,8.56375,4.70062,3.50312,143.0
22.5,8.62125,4.72687,3.51437,143.0
25.0,9.19792,4.96903,3.73952,312.0
25.0,9.32591,5.04196,3.77103,312.0
25.0,9.45389,5.11489,3.80254,312.0
25.0,9.58188,5.18782,3.83405,312.0
25.0,9.70987,5.26075,3.86556,312.0
25.0,9.83786,5.33368,3.89707,312.0
25.0,9.96585,5.40661,3.92857,312.0
25.0,10.09383,5.47954,3.96008,312.0
23.3335,10.17589,5.52505,3.97855,312.0
23.333,10.21203,5.54311,3.98399,312.0
23.3335,10.24817,5.56118,3.98942,312.0
25.25,10.7906,5.98196,4.38857,312.0
25.25,10.8692,6.0558,4.40427,312.0
25.25,10.9478,6.12965,4.41989,312.0
25.25,11.0263,6.20352,4.43542,312.0
32.8335,11.0955,6.25221,4.45318,312.0
32.8335,11.1549,6.27553,4.47313,312.0
32.833,11.2133,6.29849,4.49295,312.0
32.8335,11.2708,6.32109,4.51264,312.0
32.8335,11.3273,6.34336,4.53219,312.0
32.833,11.383,6.36528,4.55163,312.0
32.8335,11.4378,6.38687,4.57093,312.0
32.8335,11.4917,6.40814,4.59012,312.0
32.833,11.5448,6.42909,4.60919,312.0
32.8335,11.5971,6.44974,4.62814,312.0
32.8335,11.6486,6.47009,4.64698,312.0
32.833,11.6993,6.49014,4.6657,312.0
32.8335,11.7493,6.50991,4.68432,312.0
32.8335,11.7985,6.5294,4.70283,312.0
32.833,11.8471,6.54863,4.72124,312.0
32.8335,11.8949,6.56759,4.73955,312.0
32.8335,11.9422,6.5863,4.75775,312.0
32.833,11.9887,6.60476,4.77586,312.0
32.8335,12.0347,6.62298,4.79388,312.0
32.8335,12.0801,6.64097,4.81181,312.0
32.833,12.1249,6.65874,4.82965,312.0
